"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-07","Canada","2016A000011124","Job vacancies","Number","223","units","0","v104272652","1.1","991680","A","","","0"
"2022-10","Canada","2016A000011124","Job vacancies","Number","223","units","0","v104272652","1.1","855890","A","","","0"
"2023-01","Canada","2016A000011124","Job vacancies","Number","223","units","0","v104272652","1.1","781205","A","","","0"
"2023-04","Canada","2016A000011124","Job vacancies","Number","223","units","0","v104272652","1.1","818195","A","","","0"
"2023-07","Canada","2016A000011124","Job vacancies","Number","223","units","0","v104272652","1.1","737530","A","","","0"
"2022-07","Canada","2016A000011124","Payroll employees","Number","223","units","0","v104272653","1.3","16835515","A","","","0"
"2022-10","Canada","2016A000011124","Payroll employees","Number","223","units","0","v104272653","1.3","17068765","A","","","0"
"2023-01","Canada","2016A000011124","Payroll employees","Number","223","units","0","v104272653","1.3","16865200","A","","","0"
"2023-04","Canada","2016A000011124","Payroll employees","Number","223","units","0","v104272653","1.3","16979545","A","","","0"
"2023-07","Canada","2016A000011124","Payroll employees","Number","223","units","0","v104272653","1.3","17253640","A","","","0"
"2022-07","Canada","2016A000011124","Job vacancy rate","Percentage","242","units","0","v104272654","1.4","5.6","A","","","1"
"2022-10","Canada","2016A000011124","Job vacancy rate","Percentage","242","units","0","v104272654","1.4","4.8","A","","","1"
"2023-01","Canada","2016A000011124","Job vacancy rate","Percentage","242","units","0","v104272654","1.4","4.4","A","","","1"
"2023-04","Canada","2016A000011124","Job vacancy rate","Percentage","242","units","0","v104272654","1.4","4.6","A","","","1"
"2023-07","Canada","2016A000011124","Job vacancy rate","Percentage","242","units","0","v104272654","1.4","4.1","A","","","1"
"2022-07","Canada","2016A000011124","Average offered hourly wage","Dollars","81","units","0","v104272655","1.5","24.20","A","","","2"
"2022-10","Canada","2016A000011124","Average offered hourly wage","Dollars","81","units","0","v104272655","1.5","24.90","A","","","2"
"2023-01","Canada","2016A000011124","Average offered hourly wage","Dollars","81","units","0","v104272655","1.5","25.40","A","","","2"
"2023-04","Canada","2016A000011124","Average offered hourly wage","Dollars","81","units","0","v104272655","1.5","25.10","A","","","2"
"2023-07","Canada","2016A000011124","Average offered hourly wage","Dollars","81","units","0","v104272655","1.5","25.60","A","","","2"
"2022-07","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v104272656","2.1","8185","A","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v104272656","2.1","6890","B","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v104272656","2.1","5795","B","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v104272656","2.1","8650","A","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v104272656","2.1","7300","B","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v104272657","2.3","210735","A","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v104272657","2.3","201965","A","","","0"
